Country,Rate per 10000 (for cleft lip with or without cleft palate),Air Pollution (PM25) µg/m³,Latitude,Longitude,GDP (millions of USD),GDP per capita Purchasing Power Parity (PPP),Average Yearly Temperature (F),UV Index
Bolivia,22.94,22,-16.290154,-63.588653,37509,7576,70.79,12
Paraguay,14.9,12,-23.442503,-58.443832,39667,13109,74.39,12
Mexico ,12.53,18.9,23.634501,-102.552784,1150888,18656,69.8,11
Argentina,12.33,14.2,-38.416097,-63.616672,637430,20829,58.64,7
Brazil,11.93,14.2,-14.235004,-51.92528,2053595,15553,76.91,9
Ecuador,10.03,7.6,-1.831239,-78.183406,104296,11612,71.33,12
Chile,9.97,19.3,-35.675147,-71.542969,277076,24747,47.21,8
Colombia,9.29,15.6,4.570868,-74.297333,314458,14503,76.1,11
Venezuela,7.83,17,6.42375,-66.58973,,16055,77.63,11
Portugal,7.72,9.1,39.399872,-8.224454,219308,32554,59.27,4
Uruguay,6.97,9,-32.522779,-55.765835,56157,22610,63.59,8
Guatemala,18.9,19.2,15.783471,-90.230759,75620,8168,74.21,12
Ukraine,9.13,19.2,48.379433,31.16558,112154,8699,46.94,2
Peru,9,17.9,-9.189967,-75.015152,211389,13463,67.28,12
Japan ,16.04,9.8,36.204824,138.252924,4872415,42067,52.07,3
China,13.6,34.7,35.86166,104.195397,12237700,16842,44.51,3
India,12.24,51.9,20.593684,78.96288,2650725,7166,74.57,7
Vietnam,20,28.1,14.058324,108.277199,223780,6790,76.01,1
South Korea ,5.52,19.5,35.907757,127.766922,1530751,38824,52.7,4
Iran,10.3,27.2,32.427908,53.688046,454013,20885,63.05,5
Turkey,10,18.7,38.963745,35.243322,851549,28002,51.98,4
Nepal,16.4,39.2,28.394857,84.124008,24880,2702,46.58,8
Pakistan,20,59,30.375321,69.345116,304952,5539,68.36,4
Mongolia,9.33,46.6,46.862496,103.846656,11434,12946,30.74,3
Afghanistan,20.57,46.5,33.93911,67.709953,19544,1976,54.68,5
Philippines,10,12.8,12.879721,121.774017,313595,8361,78.53,10
Germany ,13.94,10.2,51.165691,10.451526,3693204,52556,47.3,1
Netherlands,13.5,9.7,52.132633,5.291266,830573,54422,48.65,2
Norway,13.38,5.8,60.472024,8.468946,399489,62183,34.7,1
Denmark,13.04,9.4,56.26392,9.501785,329866,54356,45.5,1
Belgium,9.71,8.9,50.503887,4.469936,494764,49367,49.19,2
France,8.23,11.1,46.227638,2.213749,2582501,44033,51.26,1
Finland,10,5,61.92411,25.748151,252302,46344,35.06,0
Czech Republic,9.62,12.3,49.817492,15.472962,215914,38020,45.59,1
Ireland ,8.88,8.6,53.41291,-8.24389,331430,76745,48.74,1
Austria ,8.39,10.9,47.516231,14.550072,416836,53879,43.43,2
Malta,8.27,11.8,35.937496,14.375416,12518,40797,66.56,4
Switzerland ,7.71,9,46.818188,8.227512,678965,66307,41.9,1
Hungary,7.03,14.3,47.162494,19.503304,139761,28799,49.55,2
UK,6.85,8.4,55.378051,-3.435973,2637866,44920,47.21,1
Italy,6.02,18.5,41.87194,12.56738,1943835,40924,56.21,2
Bulgaria ,6.58,27.5,42.733883,25.48583,58221,20948,50.99,3
Croatia ,6.31,21.2,45.1,15.2,55213,26296,51.62,2
UAE,4.98,29.2,23.424076,53.847818,382575,74035,80.6,8
Spain,5.23,10.4,40.463667,-3.74922,1314314,39037,55.94,4
Israel ,3.37,16.9,31.046051,34.851612,353268,38868,66.56,4
Poland,6.88,16.9,51.919438,19.145136,526466,29924,46.13,1
Canada,3.68,7.3,56.130366,-106.346771,1647120,46510,22.37,3
USA,8.94,9.6,37.09024,-95.712891,19485394,59928,47.39,4
Cuba,6.26,20,21.521757,-77.781167,96851,8541,77.36,7
Australia,8.83,7.6,-25.274398,133.775136,1323421,49378,70.97,8
New Zealand,4.03,7,-40.900557,174.885971,204139,40748,50.99,7
Russia ,3.73,9.4,61.52401,105.318756,1578417,25763,22.82,1
South Africa ,3.54,18,-30.559482,22.937506,348872,13526,63.95,8